invoice_id,age,annual_income,days_past_due,outstanding_amount,true_pd,true_lgd,default_flag,pred_pd,pred_lgd,expected_loss,value_of_call,selected_optimized,selected_random,selected_naive_risk
INV_00000,40.0,38704.49,41,4682.79,0.2123047941299796,0.8113345798305657,0,0.1940980854903643,0.7060007387942191,641.6985965751823,192.50957897255466,0,0,0
INV_00001,33.6,46051.21,1,2713.01,0.1006974725494302,0.3449175155318694,0,0.1179185102129928,0.7103078235450468,227.2374862405656,68.17124587216968,0,0,0
INV_00002,41.5,40165.8,35,4744.76,0.1906990173236433,0.7879373294170733,0,0.1810208932057671,0.7103675126299653,610.1351490580212,183.04054471740633,0,0,0
INV_00003,50.2,56266.37,39,6566.26,0.1853343928270198,0.2970397988567245,1,0.1897323946839955,0.7247744006747037,902.9473106789517,270.88419320368547,0,0,0
INV_00004,32.7,86427.21,19,6402.97,0.1078094920322376,0.9660651644847886,0,0.1226446964140767,0.7158838451219794,562.1766479473059,168.65299438419177,0,0,0
INV_00005,32.7,36950.01,14,4460.24,0.1352900969489361,0.5668706959624933,0,0.1295663348104577,0.715692569624942,413.5965525334673,124.07896576004018,0,0,0
INV_00006,50.8,83253.69,3,6901.3,0.081658144263904,0.6473254809067588,0,0.0824991685854782,0.7307535571544768,416.0556427814409,124.81669283443226,0,0,0
INV_00007,42.7,80503.43,6,6080.34,0.0880177814648594,0.5404082304189742,0,0.0912812267465076,0.7209494511312137,400.1420090656987,120.0426027197096,0,0,0
INV_00008,30.3,79418.04,14,9268.12,0.1029189560769773,0.6316783527263973,0,0.0832354552464182,0.7219906620524249,556.9697237287528,167.09091711862584,0,0,0
INV_00009,40.4,54417.49,41,4434.7,0.1937425823962731,0.6095093723167586,0,0.1937759952465834,0.7116933853414347,611.5854594054721,183.4756378216416,0,0,0
INV_00010,30.4,38073.86,33,3091.44,0.1867253712210559,0.8261925268556998,0,0.1481851481851482,0.7020162479498425,321.59750041795445,96.47925012538633,0,0,0
INV_00011,30.3,124452.38,14,13434.84,0.0762669790068378,0.5852890588424243,0,0.0251928830105495,0.7313817182505562,247.54517685079628,74.26355305523889,0,0,0
INV_00012,37.4,102269.82,31,9921.74,0.1211459777101771,0.8741460636502826,0,0.1391218755210136,0.6996002870442404,965.6800178474957,289.7040053542487,0,0,0
INV_00013,18.0,55034.38,30,5323.27,0.1601404715033247,0.8503069456363926,0,0.1481851481851482,0.7179521049316422,566.3418385683187,169.9025515704956,0,0,0
INV_00014,18.0,60082.37,18,5806.15,0.125485152815349,0.9163856506934174,0,0.1439804920817579,0.7206754155455997,602.4647092625016,180.73941277875048,0,0,0
INV_00015,29.4,47169.03,5,5064.5,0.1076291468092044,0.4751566990293762,0,0.1224951519069166,0.7230872671600916,448.58649032247433,134.57594709674228,0,0,0
INV_00016,24.9,25849.74,9,2358.64,0.1327364477680331,0.7534524809683856,0,0.133770990913848,0.7170430277856132,226.23970240056124,67.87191072016837,0,0,0
INV_00017,38.1,51232.58,4,5237.38,0.1028922780500125,0.8655296825505849,0,0.0880648097558903,0.7218125653465907,332.920796262525,99.8762388787575,0,0,0
INV_00018,25.9,68125.49,1,6308.99,0.0870059523689558,0.6314636608313894,1,0.0880648097558903,0.7269198558263829,403.87667487882857,121.16300246364857,0,0,0
INV_00019,20.9,41219.41,2,4473.76,0.1058752638566812,0.8642534700917974,1,0.1145171496687752,0.7133060560646957,365.4425589467565,109.63276768402694,0,0,0
INV_00020,49.7,46076.51,29,4921.49,0.1662606565764549,0.6171888758711291,0,0.1614598049168234,0.71889130132446,571.2474297531928,171.37422892595785,0,0,0
INV_00021,32.7,45888.79,1,6486.76,0.1008049695471531,0.6198393738854254,1,0.1295663348104577,0.7239357335112355,608.4431660478189,182.53294981434564,0,0,0
INV_00022,35.7,56625.65,11,5281.31,0.1129896722785013,0.4598434139789683,1,0.1142486878536694,0.7237237279369363,436.6824042637399,131.00472127912195,0,0,0
INV_00023,20.8,48044.65,86,4620.3,0.3890080636852148,0.6709110724768321,0,0.3143262411347517,0.6996351796600093,1016.06725049819,304.820175149457,0,0,0
INV_00024,29.6,36194.63,32,3858.29,0.1856812229773597,0.8946686966569938,1,0.1654008556095233,0.708562673143196,452.17952077691433,135.6538562330743,0,0,0
INV_00025,36.1,56534.16,28,6617.85,0.1532446202725096,0.9487051529013064,0,0.1433265316244039,0.7114896438097839,674.8575232353672,202.45725697061016,0,0,0
INV_00026,23.5,66380.71,7,5546.49,0.0984740565636607,0.8007040572076505,0,0.0961105812559797,0.728015090767566,388.0876475923013,116.42629427769039,0,0,0
INV_00027,38.8,59045.82,21,6008.16,0.1333042286221712,0.5032413209273079,1,0.1439804920817579,0.7163648275902034,619.6970056117607,185.9091016835282,0,0,0
INV_00028,29.0,25321.99,14,100.0,0.1455386901935391,0.9477853884155856,0,0.1565747713557174,0.7190083318422644,11.257856516105834,3.37735695483175,0,0,0
INV_00029,32.1,72629.49,20,6991.42,0.12005576190377,0.4408251544922742,0,0.1179185102129928,0.7211958630464594,594.5667289033364,178.3700186710009,0,0,0
INV_00030,29.0,32175.6,12,4290.29,0.1345478214983824,0.7418854407187961,1,0.1389854870867529,0.7142783406408261,425.91563560757726,127.77469068227317,0,0,0
INV_00031,53.5,65827.14,16,5856.57,0.1166354347504269,0.787446435504637,0,0.1291089862518434,0.7523158636808815,568.8529691829106,170.65589075487316,0,0,0
INV_00032,34.9,67262.36,90,6903.07,0.375335113528671,0.8561972959370524,0,0.3143262411347517,0.7114794560679409,1543.779539741618,463.1338619224854,0,0,0
INV_00033,24.4,28267.4,8,2297.83,0.1283914006092084,0.7333722869986956,0,0.1295663348104577,0.7235423121135942,215.41403816568803,64.62421144970641,0,0,0
INV_00034,43.2,81825.64,5,7323.16,0.085617518817782,0.6404087059986323,0,0.0832354552464182,0.7180830060445079,437.70502357420816,131.31150707226243,0,0,0
INV_00035,22.8,123744.06,12,13345.89,0.0737648503892709,0.8666632910854927,0,0.0472517065399612,0.724075522867012,456.61366625747127,136.98409987724136,0,1,0
INV_00036,37.1,46695.35,15,3624.28,0.1294822319117361,0.9539389151114948,1,0.1295663348104577,0.7086845789631159,332.78741834674787,99.83622550402436,0,0,0
INV_00037,18.0,65833.78,2,6876.34,0.090019801261971,0.8685128232673183,0,0.1209938199169858,0.7264400354323389,604.3942184111447,181.3182655233434,0,0,0
INV_00038,21.7,43196.07,33,4627.96,0.1811095778863655,0.6201671281441552,0,0.1481851481851482,0.7120985116191454,488.3535549069791,146.50606647209372,0,0,0
INV_00039,37.0,32017.97,11,2350.0,0.1322970646600239,0.8888838600047381,0,0.1433265316244039,0.7221578607420415,243.23529644382177,72.97058893314653,0,1,0
INV_00040,42.4,85898.75,11,8745.56,0.0932652824037635,0.6170946031301039,0,0.101373561844108,0.7085508919929998,628.1789493302138,188.45368479906412,0,0,0
INV_00041,36.7,66651.28,22,5730.18,0.1293189446462737,0.4039532826930824,0,0.1274740509235488,0.7188053425873178,525.0508285075847,157.5152485522754,0,0,0
INV_00042,33.8,39087.54,30,4430.55,0.1764349089737137,0.533824752738622,0,0.1627629775314381,0.7049420400811656,508.3545080139741,152.50635240419223,0,0,0
INV_00043,32.0,32523.7,86,1937.42,0.4162705609500928,0.6199242989786512,0,0.2739149888143177,0.7074655558112302,375.44374804160253,112.63312441248075,0,0,0
INV_00044,20.2,127474.37,4,12407.83,0.0616618802724702,0.6882825615426356,0,0.0472517065399612,0.7061459527803163,414.0071170443986,124.20213511331959,0,0,0
INV_00045,27.8,29686.73,9,2715.9,0.1295428580851454,0.7412382977483069,1,0.1295663348104577,0.7087405667064754,249.39815720023915,74.81944716007175,0,0,0
INV_00046,30.4,71317.86,4,8244.74,0.0901161473897898,0.8123855414190333,0,0.0824991685854782,0.7223305595057216,491.31783028824657,147.39534908647397,0,0,0
INV_00047,45.6,58078.06,43,5947.85,0.1960170662307269,0.69728652773824,0,0.2120305749418411,0.7097448066713519,895.077668213296,268.5233004639888,0,0,0
INV_00048,38.4,77431.12,16,8698.13,0.108181460910046,0.833176078013103,0,0.0979722012998903,0.7190265864523872,612.7364405359453,183.8209321607836,0,0,0
INV_00049,18.0,109305.48,39,11485.24,0.1337651877291561,0.8223283991468097,1,0.2075577066269545,0.7107693615324747,1694.3675954131922,508.31027862395763,0,0,0
INV_00050,38.2,21624.95,85,2710.8,0.4306732978022929,0.8232305079727018,1,0.3143262411347517,0.6875816279649325,585.871510641921,175.76145319257628,0,0,0
INV_00051,31.1,33881.46,16,3056.21,0.1429110073262916,0.8384694685786948,0,0.1295663348104577,0.7025976527465567,278.2159732208928,83.46479196626784,0,0,0
INV_00052,28.2,50484.0,3,6069.31,0.1015022254516268,0.7778328590477827,0,0.0880648097558903,0.7285441295725045,389.401468250193,116.8204404750579,0,0,0
INV_00053,41.1,114016.81,9,11045.51,0.0743960690812501,0.9389090078296196,0,0.0734161236027793,0.7104453336934514,576.1132838080739,172.83398514242216,0,0,0
INV_00054,45.3,44032.84,1,2673.46,0.1020405659379235,0.9136773808622662,0,0.1261649742662401,0.7094093990156926,239.2816706449425,71.78450119348274,0,0,0
INV_00055,44.3,40429.48,38,3828.16,0.2001199087309068,0.4026246172413734,1,0.2176209174419369,0.7028448694904188,585.5314096760318,175.65942290280952,0,0,0
INV_00056,26.6,23183.78,1,2771.85,0.1168658129098811,0.730171655502939,0,0.1261649742662401,0.6984910037186889,244.26955707504334,73.280867122513,0,0,0
