invoice_id,age,annual_income,days_past_due,outstanding_amount,true_pd,true_lgd,default_flag,pred_pd,pred_lgd
INV_00000,40.0,38704.49,41,4682.79,0.2123047941299796,0.8113345798305657,0,0.19409808549036436,0.7060007387942191
INV_00001,33.6,46051.21,1,2713.01,0.1006974725494302,0.3449175155318694,0,0.11791851021299289,0.7103078235450468
INV_00002,41.5,40165.8,35,4744.76,0.1906990173236433,0.7879373294170733,0,0.18102089320576717,0.7103675126299653
INV_00003,50.2,56266.37,39,6566.26,0.1853343928270198,0.2970397988567245,1,0.18973239468399558,0.7247744006747037
INV_00004,32.7,86427.21,19,6402.97,0.1078094920322376,0.9660651644847886,0,0.12264469641407678,0.7158838451219794
INV_00005,32.7,36950.01,14,4460.24,0.1352900969489361,0.5668706959624933,0,0.12956633481045776,0.715692569624942
INV_00006,50.8,83253.69,3,6901.3,0.081658144263904,0.6473254809067588,0,0.08249916858547829,0.7307535571544768
INV_00007,42.7,80503.43,6,6080.34,0.0880177814648594,0.5404082304189742,0,0.09128122674650768,0.7209494511312137
INV_00008,30.3,79418.04,14,9268.12,0.1029189560769773,0.6316783527263973,0,0.08323545524641829,0.7219906620524249
INV_00009,40.4,54417.49,41,4434.7,0.1937425823962731,0.6095093723167586,0,0.19377599524658348,0.7116933853414347
INV_00010,30.4,38073.86,33,3091.44,0.1867253712210559,0.8261925268556998,0,0.1481851481851482,0.7020162479498425
INV_00011,30.3,124452.38,14,13434.84,0.0762669790068378,0.5852890588424243,0,0.02519288301054952,0.7313817182505562
INV_00012,37.4,102269.82,31,9921.74,0.1211459777101771,0.8741460636502826,0,0.13912187552101368,0.6996002870442404
INV_00013,18.0,55034.38,30,5323.27,0.1601404715033247,0.8503069456363926,0,0.1481851481851482,0.7179521049316422
INV_00014,18.0,60082.37,18,5806.15,0.125485152815349,0.9163856506934174,0,0.14398049208175792,0.7206754155455997
INV_00015,29.4,47169.03,5,5064.5,0.1076291468092044,0.4751566990293762,0,0.12249515190691661,0.7230872671600916
INV_00016,24.9,25849.74,9,2358.64,0.1327364477680331,0.7534524809683856,0,0.13377099091384806,0.7170430277856132
INV_00017,38.1,51232.58,4,5237.38,0.1028922780500125,0.8655296825505849,0,0.0880648097558903,0.7218125653465907
INV_00018,25.9,68125.49,1,6308.99,0.0870059523689558,0.6314636608313894,1,0.0880648097558903,0.7269198558263829
INV_00019,20.9,41219.41,2,4473.76,0.1058752638566812,0.8642534700917974,1,0.1145171496687752,0.7133060560646957
INV_00020,49.7,46076.51,29,4921.49,0.1662606565764549,0.6171888758711291,0,0.16145980491682346,0.71889130132446
INV_00021,32.7,45888.79,1,6486.76,0.1008049695471531,0.6198393738854254,1,0.12956633481045776,0.7239357335112355
INV_00022,35.7,56625.65,11,5281.31,0.1129896722785013,0.4598434139789683,1,0.11424868785366941,0.7237237279369363
INV_00023,20.8,48044.65,86,4620.3,0.3890080636852148,0.6709110724768321,0,0.31432624113475177,0.6996351796600093
INV_00024,29.6,36194.63,32,3858.29,0.1856812229773597,0.8946686966569938,1,0.16540085560952333,0.708562673143196
INV_00025,36.1,56534.16,28,6617.85,0.1532446202725096,0.9487051529013064,0,0.14332653162440395,0.7114896438097839
INV_00026,23.5,66380.71,7,5546.49,0.0984740565636607,0.8007040572076505,0,0.0961105812559797,0.728015090767566
INV_00027,38.8,59045.82,21,6008.16,0.1333042286221712,0.5032413209273079,1,0.14398049208175792,0.7163648275902034
INV_00028,29.0,25321.99,14,100.0,0.1455386901935391,0.9477853884155856,0,0.1565747713557174,0.7190083318422644
INV_00029,32.1,72629.49,20,6991.42,0.12005576190377,0.4408251544922742,0,0.11791851021299289,0.7211958630464594
INV_00030,29.0,32175.6,12,4290.29,0.1345478214983824,0.7418854407187961,1,0.1389854870867529,0.7142783406408261
INV_00031,53.5,65827.14,16,5856.57,0.1166354347504269,0.787446435504637,0,0.1291089862518434,0.7523158636808815
INV_00032,34.9,67262.36,90,6903.07,0.375335113528671,0.8561972959370524,0,0.31432624113475177,0.7114794560679409
